"","ACK_ID","PLAN_YEAR_BEGIN_DATE","PLAN_YEAR_END_DATE","PLAN_NAME","PLAN_EFFECTIVE_DATE","PLAN_TYPE","SPONSOR_NAME","SPONSOR_STATE","SPONSOR_EIN","BUSINESS_CODE","TOTAL_ACCBAL_PARTCP_BOY","TOTAL_ACCBAL_PARTCP_EOY","TOTAL_CONTRIB_PARTCP_BOY","TOTAL_CONTRIB_PARTCP_EOY","TOTAL_CONTRIB_EMPLR_BOY","TOTAL_CONTRIB_EMPLR_EOY","TOTAL_LOANS_BOY","TOTAL_LOANS_EOY","TOTAL_ASSETS_BOY","TOTAL_ASSETS_EOY","INDUSTRY_TITLE"
"11","20240701105846NAL0002802771001","2023-01-01","2023-12-31","CP 401(K) PLAN","2001-01-01","2E2F2G2J2K2T3B3D","CONNELLY PARTNERS, LLC","MA",43476857,541800,166,153,0,0,0,0,82310,44297,12691554,15199330,"Advertising, public relations, and related services"
"12","20240702175256NAL0006141345001","2023-01-01","2023-12-31","J. CRAIG VENTER INSTITUTE, INC. 401(K) PLAN","2004-01-01","2K2T2E2F2G2J3D","J. CRAIG VENTER INSTITUTE, INC.","CA",521842938,541700,307,301,0,0,0,0,103556,118404,40270613,45751135,"Scientific research and development services"
"13","20240703052846NAL0004210147001","2023-01-01","2023-12-31","EKF 401(K) RETIREMENT PLAN","2017-09-24","2A2E2F2G2J2K2R3D","EKF DIAGNOSTICS, INC. DBA STANBIO LABORATORY","TX",453356270,339110,116,115,919,15195,919,10330,116072,175020,5298218,5601381,"Medical equipment and supplies manufacturing"
"14","20240703155823NAL0004554099001","2023-01-01","2023-12-31","AMCAP 401(K) PLAN","2010-01-01","2A2E2F2G2J2K2R2T3B3D","AMCAP MORTGAGE, LTD.","TX",320016270,522292,599,536,0,0,0,0,696623,857200,19822586,23529393,"Real estate credit"
"15","20240618133148NAL0001899203001","2023-01-01","2023-12-31","EVEREST REINSURANCE EMPLOYEE SAVINGS PLAN","1995-10-07","2E2F2G2J2K2S","EVEREST REINSURANCE COMPANY","NJ",222005057,524150,2263,2526,0,0,0,0,2159190,2818984,313527004,395083295,"Direct insurance carriers agencies and brokerages"
"16","20240618141117NAL0001723587001","2023-01-01","2023-12-31","NAPPI DISTRIBUTORS, INC. 401(K) PLAN","1986-01-01","2E2F2G2J2K2S2T3D","NAPPI DISTRIBUTORS, INC.","ME",10261330,424800,199,217,0,0,0,0,204494,226171,14058951,17332259,"Beer, wine, and distilled alcoholic beverage merchant wholesalers"
"17","20240620144348NAL0001027443001","2023-01-01","2023-12-31","ASSOCIATED BRIGHAM CONTRACTORS INC. 401(K) PLAN","1996-07-01","2E2F2G2J2K2S2T3D","ASSOCIATED BRIGHAM CONTRACTORS INC","UT",870253167,238100,242,244,0,0,0,0,0,88036,12345964,14933429,"Building foundation and exterior contractors"
"18","20240701123110NAL0004144017001","2023-01-01","2023-12-31","IONA UNIVERSITY DEFINED CONTRIBUTION RETIREMENT PLAN","1950-01-01","2F2G2L2M2T3D","IONA UNIVERSITY","NY",133508093,611000,1325,1342,66557,0,52070,0,433292,462030,213717434,228933559,"Educational services"
"19","20240701221843NAL0003273875001","2023-01-01","2023-12-31","CLARUS CORPORATION RETIREMENT SAVINGS PLAN","1994-01-01","2F2G2J2E2K2T3H3D","CLARUS CORPORATION","UT",581972600,339900,342,340,0,0,424636,436352,0,0,19625299,24071208,"Other miscellaneous manufacturing"
"20","20240702112432NAL0005496705001","2023-01-01","2023-12-31","BANK OF BRIDGER 401(K) SAFE HARBOR PLAN","2000-01-01","2E3D2G2J2K2F2T3H","BANK OF BRIDGER, N.A.","MT",830129675,522110,118,116,15358,15467,8079,8364,41574,102906,11457628,12643453,"Commercial banking"
"21","20240702094010NAL0007056064001","2023-01-01","2023-12-31","SELECTIVE SITE CONSULTANTS, INC. 401K PLAN","1998-01-01","2E2F2G2J2K2S2T3D","SELECTIVE SITE CONSULTANTS, INC.","KS",742841514,531390,114,100,0,0,0,0,4016,9730,4422757,5692280,"Other activities related to real estate"
"22","20240702105544NAL0007277248001","2023-01-01","2023-12-31","AVENIR GLOBAL US RETIREMENT PLAN","1983-07-01","2E2F2G2J2K2S2T3H3D","PADILLA SPEER BEARDSLEY INC.","MN",410793514,541990,420,381,0,0,0,0,145075,139057,30395213,36349639,"All other professional, scientific, and technical services"
"23","20240703121709NAL0007173489001","2023-01-01","2023-12-31","HHI CORPORATION 401(K) PLAN","2000-01-01","2A2S2E2G2J2K2F2T3D","HHI CORPORATION","UT",870287722,236200,177,222,1950,0,461014,496111,69161,84338,6837536,9168290,"Nonresidential building construction"
"24","20240703142251NAL0006591761001","2023-01-01","2023-12-31","GIZMODO MEDIA GROUP 401(K) PLAN","2010-07-01","2A2E2F2G2J2K2T3H3D","GIZMODO MEDIA GROUP LLC","NY",811810891,541990,439,415,0,0,0,0,51211,20209,13653895,15697288,"All other professional, scientific, and technical services"
"25","20240703142358NAL0007393841001","2023-01-01","2023-12-31","CITADEL RETIREMENT SAVINGS PLAN","2000-01-01","2E2F2G2J2K2T3F3H3D2R","CITADEL ENTERPRISE AMERICAS LLC","FL",364108019,523900,4917,5132,0,0,24547184,26829467,2029352,2165017,746509718,974143629,"Other financial investment activities"
"26","20240617102927NAL0000892707001","2023-01-01","2023-12-31","TRAFIGURA TRADING LLC RETIREMENT SAVINGS PLAN","1996-01-01","2E2F2G2J2K2S2T3H3D","TRAFIGURA TRADING LLC","TX",61436098,523140,352,367,0,0,0,0,17920,14278,35131984,44822122,"Commodity contracts brokerage"
"27","20240618154936NAL0002457793001","2023-01-01","2023-12-31","CINCINNATI FINANCIAL CORPORATION TAX-QUALIFIED SAVINGS PLAN","1996-01-01","2E2F2G2J2K2O2R2S2T3F3H","CINCINNATI FINANCIAL CORPORATION","OH",310746871,524150,5923,6138,0,0,0,0,8763533,9524973,892580291,1092493308,"Direct insurance carriers agencies and brokerages"
"28","20240620083433NAL0001178529001","2023-01-01","2023-12-31","SOUTHERN INSURANCE UNDERWRITERS, INC. 401 (K) PLAN & TRUST","1968-12-01","2A2E2F2G2J2K2S2T3D3B3H","SOUTHERN INSURANCE UNDERWRITERS, INC.","GA",580939621,524210,147,131,0,0,0,0,89949,27560,5497744,6333012,"Insurance agencies and brokerages"
"29","20240620095214NAL0001147521001","2023-01-01","2023-12-31","STERILITE CORPORATION RETIREMENT INCOME PARTNERSHIP","1985-01-01","2E2F2G2J2K2T3D","STERILITE CORPORATION AND SUBSIDIARIES","MA",42022262,326100,3056,2893,0,0,5030443,5360968,0,0,117115422,147428099,"Plastics product manufacturing"
"30","20240620185950NAL0003772498001","2023-01-01","2023-12-31","GRAIL 401(K) PLAN","2016-06-15","2E2F2G2J2T3D","GRAIL, LLC","CA",863673636,621510,1160,1514,0,0,0,0,302429,570003,50043204,87338931,"Medical and diagnostic laboratories"
"31","20240621143113NAL0001761251001","2023-01-01","2023-12-31","AFFINITY GAMING RETIREMENT SAVINGS PLAN","2001-10-01","2E2F2G2J2K2T3D3H","AFFINITY GAMING","NV",20815199,721120,410,485,155,31761,39,2438,318851,419026,14375786,34839208,"Casino hotels"
"32","20240701135024NAL0004230769001","2023-01-01","2023-12-31","SALT LAKE COMMUNITY ACTION PROGRAM 401(K) PLAN","2014-03-01","2E2F2G2J2K2S2T3D","SALT LAKE COMMUNITY ACTION PROGRAM","UT",870269683,624200,744,756,39449,44948,24678,29762,204761,204510,13622646,16708085,"Community food and housing, and emergency and other relief services"
"33","20240701072611NAL0002635187001","2023-01-01","2023-12-31","LRS HEALTHCARE 401(K) PLAN","2018-01-01","2A2E2J2K2F2G3D2T","LRS HEALTHCARE","NE",203629021,561300,729,861,20290,0,65099,0,142,0,10889472,17229088,"Employment services"
"34","20240702124420NAL0003533379001","2023-01-01","2023-12-31","EXACT SCIENCES CORPORATION 401(K) PLAN","1998-01-01","2F2G2J2K2S2T2E3H3I3D","EXACT SCIENCES CORPORATION","WI",20478229,621510,7766,8226,0,0,35777197,40578015,3500958,4853974,463703509,645569444,"Medical and diagnostic laboratories"
"35","20240703130024NAL0009714464001","2023-01-01","2023-12-31","FIRST HERITAGE FEDERAL CREDIT UNION 401(K) RETIREMENT SAVINGS PLAN","1997-01-01","2A2E2F2G2J2K2T3D","FIRST HERITAGE FEDERAL CREDIT UNION","NY",160802201,522130,166,179,0,0,235207,268394,147283,231273,11223977,13667695,"Credit unions"
"36","20240703114657NAL0004312019001","2023-01-01","2023-12-31","SCHULER SHOES, INC. 401(K) SAVINGS PLAN","1991-01-01","2E2F2G2J2K2S2T3B3D","SCHULER SHOES, INC.","MN",410528210,448210,195,208,0,0,0,0,112055,98192,13714694,15612537,"Shoe stores"
"37","20240617114824NAL0003055922001","2023-01-01","2023-12-31","MENHOLT AUTOMOTIVE GROUP 401(K) PLAN","1959-01-01","2E2F2G2J2K2T3B3D3H","MENHOLT AUTOMOTIVE GROUP","MT",810449357,441110,203,216,0,0,0,403779,203475,291001,14072954,17407336,"New car dealers"
"38","20240618075137NAL0003071184001","2023-01-01","2023-12-31","ACCOUNTINGDEPARTMENT.COM, LLC 401(K) PLAN","2007-01-01","2E2F2G2J2K2T3D3H","ACCOUNTINGDEPARTMENT.COM, LLC","FL",200819446,541219,159,173,0,48703,3516,31139,28519,156960,4616706,6552567,"Other accounting services"
"39","20240701102808NAL0002789091001","2023-01-01","2023-12-31","THE HUNTINGTON 401(K) PLAN","1978-01-01","2F2G2J2K3H2E2R2S","HUNTINGTON BANCSHARES INCORPORATED","OH",310724920,522110,24895,24401,0,0,0,0,66475,22196543,1572213134,2016137466,"Commercial banking"
"40","20240702131343NAL0005598225001","2023-01-01","2023-12-31","HAWTHORN BANCSHARES, INC. PROFIT SHARING 401(K) PLAN","1951-11-01","2E2F2G2J2K2S2T3D","HAWTHORN BANCSHARES, INC.","MO",431626350,522110,386,388,0,0,1046000,615000,0,0,37286489,44558003,"Commercial banking"
"41","20240702142419NAL0007631696001","2023-01-01","2023-12-31","NORIX GROUP, INC. 401(K) PLAN","1987-01-01","2E2F2G2J2K2S2T3B3D3H","NORIX GROUP, INC.","IL",363257149,337000,121,160,0,0,0,10004,58907,83732,5278593,6172671,"Furniture and related product manufacturing"
"42","20240702142423NAL0003637907001","2023-01-01","2023-12-31","FRANKLIN CORPORATION 401(K) PLAN","1999-01-01","2G2J2K2T3H2F3D","FRANKLIN CORPORATION","MS",640478766,337000,259,239,0,0,0,0,0,0,10095391,11798038,"Furniture and related product manufacturing"
"43","20240702145215NAL0003663283001","2023-01-01","2023-12-31","TECH-MARINE BUSINESS INC PROFIT SHARING & 401(K) PLAN","1997-12-10","2E2F2G2J2T3D2R","TECH-MARINE BUSINESS INC","DC",541860677,541330,292,285,0,0,0,0,267159,298796,25751454,28158388,"Engineering services"
"44","20240702192924NAL0008418640001","2023-01-01","2023-12-31","MATTEL, INC. PERSONAL INVESTMENT PLAN","1983-11-01","2F2J2K2S2T2A2E2G","MATTEL, INC.","CA",951567322,423920,7408,7427,1846000,1268000,1496000,971000,5283000,5934000,1047319000,1168467000,"Toy and hobby goods and supplies merchant wholesalers"
"45","20240703095242NAL0009348192001","2023-01-01","2023-12-31","AAFCPAS, INC 401(K) SAVINGS PLAN","1985-11-10","2E2F2G2J2K2R2T3D","AAFCPAS, INC.","MA",42571780,541211,362,378,118297,219925,88310,76078,182453,254595,36681724,46858108,"Offices of certified public accountants"
"46","20240703133312NAL0006495793001","2023-01-01","2023-12-31","SPIE RETIREMENT PLAN","1973-02-01","2F2G2L2M2T","SOCIETY OF PHOTO OPTICAL INSTRUMENTATION ENGINEERS","WA",952142678,813000,337,334,50607,48477,60338,60253,254807,319858,49589483,58291992,"Religious, grantmaking, civic, professional, and similar organizations"
"47","20240503154016NAL0030036945001","2023-01-01","2023-12-31","NEOLIFE INTERNATIONAL, LLC RETIREMENT PLAN","1976-07-01","2F2G2J2T3D2R2E","NEOLIFE INTERNATIONAL, LLC","CA",880479926,311900,159,165,0,0,370707,420129,185164,235233,25451929,28097396,"Other food manufacturing"
"48","20240618100810NAL0005438290001","2023-01-01","2023-12-31","CXTEC INC. RETIREMENT & PROFIT SHARING PLAN","1983-11-01","2E2F2G2J2K2T3D","CXTEC INC.","NY",161105670,334110,331,330,25730,31522,118139,86783,446371,428594,44345022,52118466,"Computer and peripheral equipment manufacturing"
"49","20240618104246NAL0003689968001","2023-01-01","2023-12-31","ARGO DATA RESOURCE CORPORATION 401(K) PLAN","1987-01-01","2E2F2G2J2K2S2T3D2R","ARGO DATA RESOURCE CORPORATION","TX",752300387,541511,435,486,0,0,0,0,219140,217151,42142314,52771244,"Custom computer programming services"
"50","20240620131221NAL0000949651001","2023-01-01","2023-12-31","KEMBA FINANCIAL CREDIT UNION, INC. 401(K) PROFIT SHARING PLAN","1997-07-01","2T2E2F2G2J2K2S3D","KEMBA FINANCIAL CREDIT UNION, INC.","OH",316034826,522130,371,384,50638,54657,865922,720722,62552,62888,22023602,27032101,"Credit unions"
"51","20240620134027NAL0001973792001","2023-01-01","2023-12-31","WORLD ACCEPTANCE CORPORATION RETIREMENT SAVINGS PLAN","1993-01-01","2E2F2G2J2K2T3D","WORLD ACCEPTANCE CORPORATION","SC",570425114,522291,1538,1483,0,0,0,0,2401841,2455956,61342085,70237558,"Consumer lending"
"52","20240620134031NAL0001347361001","2023-01-01","2023-12-31","PHARMACHEM LABORATORIES, INC. PROFIT SHARING PLAN","1998-10-01","2R2T2E","PHARMACHEM LABORATORIES, INC.","DE",221625213,311900,157,156,0,0,0,0,0,0,46265446,47722437,"Other food manufacturing"
"53","20240621084550NAL0004892946001","2023-01-01","2023-12-31","CHILD DEVELOPMENT SCHOOLS, INC. 401(K) SAVINGS PLAN","1999-10-01","2F2G2J2K2T3D","CHILD DEVELOPMENT SCHOOLS, INC. DBA CHILDCARE NETW","GA",630986576,624410,944,1026,0,0,0,0,0,0,7162465,8684373,"Child care services"
"54","20240701160133NAL0004046081001","2023-01-01","2023-12-31","403(B) THRIFT PLAN FOR EMPLOYEES OF ENMRSH, INC.","1988-07-01","2G3D2J2K2E2T","ENMRSH, INC.","NM",850213360,624310,336,336,0,0,0,0,0,0,3164961,3549008,"Vocational rehabilitation services"
"55","20240701091503NAL0002758947001","2023-01-01","2023-12-31","VERGE MOBILE 401(K) PLAN","2019-12-01","2A2E2J2K2F2G3D3B2T","VERGE MOBILE LLC","TX",208356509,517000,1424,1967,12,-1753,0,0,7900,41679,887858,2027410,"Telecommunications"
"56","20240701143021NAL0005506496001","2023-01-01","2023-12-31","GENISYS CREDIT UNION 401(K) PLAN","1972-02-01","2F2G2J2K2T2E3D","GENISYS CREDIT UNION","MI",381445060,522130,617,638,0,0,0,0,1337817,1381502,52344981,61562414,"Credit unions"
"57","20240702155403NAL0003728419001","2023-01-01","2023-12-31","CAPITAL CITY BANK GROUP, INC. 401(K) PLAN","1997-01-01","2A2E2F2G2J2K2S2T3D3H","CAPITAL CITY BANK GROUP, INC.","FL",592273542,551111,1154,1155,0,0,0,0,0,0,42020583,48086856,"Offices of bank holding companies"
"58","20240702155554NAL0011387586001","2023-01-01","2023-12-31","OCTOBER THREE MANAGEMENT SERVICES, INC. RETIREMENT TRUST","2010-09-01","2F2G2J2K2T3D2E","OCTOBER THREE MANAGEMENT SERVICES, INC.","IL",271503891,541990,118,145,47109,59802,0,0,113037,116532,10860561,15089875,"All other professional, scientific, and technical services"
"59","20240702210907NAL0005776161001","2023-01-01","2023-12-31","CUMULUS MEDIA 401(K) PLAN","1998-01-01","2G2J2K2S2T2E3H2F3D","CUMULUS RADIO CORPORATION","GA",860703641,515100,4064,5203,0,0,0,0,1885349,2091768,216482879,245661802,"Radio and television broadcasting"
"60","20240703111031NAL0004387539001","2023-01-01","2023-12-31","MACERICH PROPERTY MANAGEMENT COMPANY 401(K) PROFIT SHARING PLAN","1984-01-01","2E2F2G2J2K2S2T","MACERICH PROPERTY MANAGEMENT COMPANY LLC.","CA",954853294,531310,1023,1022,0,0,0,0,773357,912222,181490271,208030353,"Real estate property managers"
"61","20240703081516NAL0004173043001","2023-01-01","2023-12-31","AMERICAN FIBERTECH CORPORATION 401(K) PLAN","1999-01-01","2E2F2G2J2K2A2T3H3D","AMERICAN FIBERTECH CORPORATION","IN",351691687,321900,110,128,0,0,0,0,16261,15799,4306514,5786832,"Other wood product manufacturing"
"62","20240618142604NAL0002797793001","2023-01-01","2023-12-31","PINNACLE WEST CAPITAL CORPORATION SAVINGS PLAN","1987-01-01","2E2F2G2J2K2O2R2S2T3F3H","PINNACLE WEST CAPITAL CORPORATION","AZ",860512431,551112,7553,7750,1257016,1598239,392942,499276,19818571,20950221,1290988455,1467517436,"Offices of other holding companies"
"63","20240701123434NAL0004147601001","2023-01-01","2023-12-31","BANK OF SOUTHERN CALIFORNIA NA 401(K) PROFIT SHARING PLAN","2007-01-01","2E2F2G2J2K2S2T3D","BANK OF SOUTHERN CALIFORNIA NA","CA",330956417,522110,240,236,1143,0,548,0,111810,210671,13708766,15915726,"Commercial banking"
"64","20240701123533NAL0004148097001","2023-01-01","2023-12-31","HUB GROUP EMPLOYEE PROFIT SHARING AND TRUST PLAN","1986-01-01","2E2F2G2J2K2S2T3H3D2R","HUB GROUP, INC.","IL",364007085,488510,6315,6672,0,0,0,0,3912289,5016459,192335372,231851866,"Freight transportation arrangement"
"65","20240701153113NAL0002961667001","2023-01-01","2023-12-31","RETIREMENT SAVINGS PLAN FOR EMPLOYEES OF SEACOAST NATIONAL BANK","1983-01-01","2E2F2G2J2K2S2T3D3H","SEACOAST NATIONAL BANK","FL",590193820,522110,1876,1893,1492,0,428,0,306063,531495,87856886,118218660,"Commercial banking"
"66","20240702214005NAL0006479713001","2023-01-01","2023-12-31","MOOD401(K) SAVINGS AND RETIREMENT PLAN","2014-01-01","2E2F2G2J2K2S2T3H3D","DMX, LLC D/B/A MOOD MEDIA","TX",202796414,515210,962,987,0,0,0,0,552520,575411,69247583,78026512,"Cable and other subscription programming"
"67","20240703093146NAL0004219715001","2023-01-01","2023-12-31","INDUSTRIAL COMMERCIAL SYSTEMS 401(K) PROFIT SHARING PLAN & TRUST","1995-01-01","2E2F2G2J2K2R2T3D","INDUSTRIAL COMMERCIAL SYSTEMS,","CA",330005175,541990,110,149,0,0,0,0,51613,49990,4011341,4720135,"All other professional, scientific, and technical services"
"68","20240703082317NAL0004177555001","2023-01-01","2023-12-31","TAYLOR TRUCK LINE INC. 401(K) PLAN","1996-01-01","2E2F2G2J2K2T3D","TAYLOR TRUCK LINE INC.","MN",411646445,484120,115,119,7250,8388,95209,91261,128254,80117,6083704,7454379,"General freight trucking, long-distance"
"69","20240704122612NAL0011438176001","2023-01-01","2023-12-31","GREENFIELD GLOBAL USA RETIREMENT PLAN","1994-01-01","2E2F2G2J2K2T3H3D","GREENFIELD GLOBAL USA INC.","CT",61136687,325900,241,263,0,0,367144,538432,417076,526428,13154253,15592242,"Other chemical product and preparation manufacturing"
"70","20240617100101NAL0001804720001","2023-01-01","2023-12-31","DELTA MANAGEMENT ASSOC. 401(K) P/S PLAN","1997-01-01","2A2E2F2G2J2K2T3D","DELTA MANAGEMENT ASSOCIATES, INC.","MA",42905813,561440,127,51,0,0,0,0,162306,94355,6246454,4520087,"Collection agencies"
"71","20240617103725NAL0000897603001","2023-01-01","2023-12-31","WARREN TIRE SERVICE CENTER, INC. PROFIT SHARING 401(K) PLAN","1995-01-01","2E2J2K2S3D","WARREN TIRE SERVICE CENTER, INC.","NY",141641544,811110,109,114,6777,14014,1499,2603,2007,0,6449196,6766723,"Automotive mechanical and electrical repair and maintenance"
"72","20240617111559NAL0003034354001","2023-01-01","2023-12-31","ANDERSON CENTER FOR AUTISM RETIREMENT PLAN","2004-01-01","2E2F2G2J2L2T3D","ANDERSON CENTER FOR AUTISM","NY",141598279,611000,975,1006,0,0,3281030,5101513,253793,304709,41205460,50895265,"Educational services"
"73","20240618160617NAL0001819907001","2023-01-01","2023-12-31","LEGGETT & PLATT, INCORPORATED 401(K) PLAN AND TRUST AGREEMENT","2000-09-01","2E2F2G2J2K2O2S2T3H","LEGGETT & PLATT, INCORPORATED","MO",440324630,339900,6931,6677,479985,499357,755906,792889,5943397,6811143,339555726,376932660,"Other miscellaneous manufacturing"
"74","20240619103057NAL0002378067001","2023-01-01","2023-12-31","SURF OPCO 401(K) PLAN","2004-01-01","2A2E2F2G2J2K2S2T3D","SURF OPCO LLC","TX",861780704,425110,240,242,0,0,0,0,182672,198056,5562256,7060879,"Business to business electronic markets"
"75","20240621144402NAL0002727345001","2023-01-01","2023-12-31","CHESAPEAKE CONTAINMENT SYSTEMS 401(K) PLAN","2015-01-01","2E2F2G2J2K2T3D3H","CHESAPEAKE CONTAINMENT SYSTEMS, INC.","NC",208372336,238900,116,115,6895,9055,4042,4941,126328,178722,3700250,5031100,"Other specialty trade contractors"
"76","20240701080035NAL0002726323001","2023-01-01","2023-12-31","SAVINGS PLAN FOR EMPLOYEES OF NEWMARKET CORPORATION AND AFFILIATES","1961-09-01","2E2G2J2K2T","NEWMARKET CORPORATION","VA",200812170,325900,1310,1305,416021,0,173011,0,2624064,2905689,407399416,507942284,"Other chemical product and preparation manufacturing"
"77","20240701153643NAL0002966419001","2023-01-01","2023-12-31","GSC ENTERPRISES, INC 401(K) PLAN","1996-01-01","2S2E3D2G2J2K2F2T","GSC ENTERPRISES, INC","TX",751413801,424400,746,749,42653,88,19176,10966,818298,870932,42653954,49204909,"Grocery and related product merchant wholesalers"
"78","20240702121657NAL0003520595001","2023-01-01","2023-12-31","PARAMEDIC SERVICES OF ILLINOIS, INC. EMPLOYEES' RETIREMENT PLAN AND TRUST","1981-01-01","2E2A2F2G2J2K2S2T3D","PARAMEDIC SERVICES OF ILLINOIS, INC.","IL",363167618,621900,555,546,0,0,348846,353439,294187,226126,22374114,24382011,"Other ambulatory health care services"
"79","20240702121713NAL0007244880001","2023-01-01","2023-12-31","ORTHOPAEDIC HOSPITAL 401(K) PLAN","1998-11-01","2E2F2G2J2K2S2T3D","ORTHOPAEDIC HOSPITAL","CA",951644604,621498,297,307,26315,36235,27640,44253,209882,257585,20626396,23791555,"All other outpatient care centers"
"80","20240702125623NAL0007422800001","2023-01-01","2023-12-31","CHARLES KOMAR & SONS, INC. 401(K) PLAN","1974-06-30","2F2G2J2K2T2E3D","CHARLES KOMAR & SONS, INC.","NJ",135661752,812990,891,864,9181,0,233828,234103,212485,441358,72241430,82573669,"All other personal services"
"81","20240704061832NAL0010921488001","2023-01-01","2023-12-31","INLAND MANAGEMENT LLC 401(K) SAVINGS PLAN","1995-03-31","2E2F2G2J2K2T3D3H","INLAND MANAGEMENT, LLC","MA",43267557,531390,122,113,6673,3785,1334,757,110758,38831,16977580,17155075,"Other activities related to real estate"
"82","20240705130112NAL0010201041001","2023-01-01","2023-12-31","PRUDENTIAL OVERALL SUPPLY PROFIT SHARING AND RETIREMENT PLAN","2002-04-01","2E2F2G2J2K2S2T3D","PRUDENTIAL OVERALL SUPPLY","CA",951535681,812330,2254,2150,0,0,1896524,3340668,2623715,3176581,94874431,110540006,"Linen and uniform supply"
"83","20240617140938NAL0003775170001","2023-01-01","2023-12-31","AIR 401(K) RETIREMENT PLAN","1999-01-01","2E2F2G2J2K2T3D","APARTMENT INCOME REIT CORP.","CO",841299717,531310,1416,1415,0,120441,42202,53779,1093131,1068495,91459260,104750581,"Real estate property managers"
"84","20240617140952NAL0001079779001","2023-01-01","2023-12-31","INFORMATICA LLC 401(K) RETIREMENT PLAN","1996-01-01","2F2G2E2J2K2T3D2R","INFORMATICA LLC","CA",770333710,511210,3006,2786,0,0,0,0,3245060,3445668,447591166,532461218,"Software publishers"
